essay_id,essay_set,essay,score,p7_mbart50_m2m
17834,7,"Patience is when your waiting .I was patience when in line waiting for lunch .I didn’t c ut any one to eat .I was standing and waiting for my turn .Patience ,some people don’t have it .Lots of people just cut or yell at you because they don’t have  any patience. Sometimes people will push you out of their way .They only do that because they don’t have patience at all. Patience is what people need .People need patience because lots o f feelings get hurt .Everyone should have patience.",15,"धैर्य जब तपाईँले पर्खिरहनु भएको हो। म लंचको लागि लाइनमा पर्खिरहनु भएको बेला धैर्य थिएँ। मैले खान कसैलाई पनि खन्न चाहिनँ। म मेरो बारीको लागि उभिरहेको थिएँ। धैर्य, केही मानिसहरूसँग यो छैन। धेरै मानिसहरूले मात्र तपाईँलाई काट्छन् वा चिच्याउँदछन् किनभने तिनीहरूसँग कुनै धैर्य छैन। कहिलेकाहीं मानिसहरूले तपाईँलाई तिनीहरूको बाटोबाट बाहिर धकेल्नेछन्। तिनीहरूले यस्तो मात्र गर्दछन् किनभने तिनीहरूसँग कुनै धैर्य छैन। मानिसहरूलाई धैर्य आवश्यक छ। मानिसहरूलाई धैर्य आवश्यक छ किनभने धेरै भावनाहरू चोट पर्छन्। हरेक मानिसलाई धैर्य हुनु पर्छ।"
17836,7,"I am not a patience person, like I can’t sit in a sit for more than five minutes, but there was one time I was patience and i bet very alse was to that right riding a bike where out training wheels. When I was five learned how to ride a bike I just keeped falling of at one piont my bike  flip and I allmost broke my jaw but i didn’t. Finally after @NUM1 weeks of onstint falling I rode for @NUM2 minutes without falling and finally learn how to riken a bike.",13,"म चिन्तित व्यक्ति होइन, जस्तो म पाँच मिनेटभन्दा बढी बसेर बस्न सक्तिनँ, तर एक पटक मैले चिन्तित भएको थिएँ र म त्यो अधिकारमा साइकलमा हिडिरहेको थिएँ जहाँ आउट ट्रेनिङ चक्र थियो। जब म पाँच वर्षका थिएँ मैले एउटा साइकिल चाल्ने तरिका सिक्न थाले मैले मेरो साइकिल फ्लिपमा फड्किरहेको मात्र थिएँ र मैले मेरो कपाल एकदमै भाँचिरहेको थिएँ तर मैले गरेन। अन्त्यमा @NUM1 हप्ताको अनैतिक पतनपछि मैले @NUM2 मिनेटसम्म बिना पतन गरें र अन्त्यमा एउटा साइकिल riken कसरी गर्ने सिक्नुभयो ।"
17837,7,One day I was at basketball practice and I was running has  with my team when I was getting really really thirsty  do after we did are suicides (a running exercise)I asked coach if we could go get  some drinks  coach said “after are double drible down and back exercise” @CAPS1 I did the exercise and we all rushed to the drinking fountain and I was at the end of an @NUM1 girl  line .I waited and waited until finally there I was faced with that drinking fountain when one girl says “ can I have a drink thank you” and all I could do if be stunned..Thats were I heard a bright ladys lets go!” I was @CAPS1 mad but I quickly took a @NUM2 second drink of water and rushed over to coach and now I’m the fisst one alot and I take long drunks do my teammates call me a fish!,15,एक दिन म बास्केटबाल अभ्यासमा थिएँ र मैले आफ्नो समूहसँग दौडिरहेको थिएँ जब म वास्तवमै साँच्चै तिर्खाएको थिइन। हामीले आत्महत्या गरे पछि मैले coachलाई सोधें यदि हामीले केही पेय पदार्थहरू प्राप्त गर्न सकौं भनेर coachले भने “दुब्बर पानी पिउने तल र पछाडि अभ्यास” @CAPS1 मैले अभ्यास गरे र हामीले सबै पेय स्रोतमा दौडे र म @NUM1 केटी लाइनको अन्त्यमा थिएँ। मैले प्रतीक्षा गरे र अन्त्यमा त्यहाँ मैले त्यो पेय स्रोतसँग सामना गरेको थिएँ जब एक केटीले भन्यो “मसँग एउटा पेय पदार्थ हुन सक्छु धन्यवाद” र यदि छक्क परेमा म सबै गर्न सक्थे।. त्यो मैले सुनेको थियो कि एक उज्यालो महिलाले जान्छ!” म @CAPS1 पागल थिएँ तर म तुरुन्तै @NUM2 दोस्रो पानी पिउँन थाले र coach तर्फ दौडे र अहिले म एउटा fisst
17838,7,"I going to write about a time when I went to the @ORGANIZATION1 fair, we had fun, we saw a ride we wanted to get on, so we got in line. Suddenly, we noticed that we were at the end of the line. So my mother said.” @CAPS1 get on another ride then”. We already tried the other rides,” my father said. So we stayed at the end of the line until it was our turn, and said that was the last ride, soon there were people behind us complaining, their younger children was getting mad, and parents was hollering. We just stood there, and kept being patient. That didn’t desterb us. since we were raised to be patient, and wait our turn at things. I feel being patient is very important, because if you act up in line, you might make people think they’re holding you up, but it’s the line moving slow. Advice: when you are waiting at the end of the line, don’t shout, scream, holler, or yell at anyone, it only creates trouble. Just don’t think about all of the people ahead of you, talk to someone, just take your mind off of it for a while, then you’ll notice, the line is moving quicker than you expected. P.S. We enjoyed the ride.",17,"@ORGANIZATION1 फेयरमा जाँदा हामीले रमाइलो गर्यौं, हामीले ride हेर्न चाहेका थियौं, त्यसैले हामीले पङ्क्तिमा पसेका थियौं। अचानक हामीले देख्यौं कि हामी लाइनको अन्त्यमा छौं । यसकारण मेरी आमाले भने, “ @CAPS1 त्यसपछि अर्को यात्रा गर।” हामीले पहिले नै अन्य सवारीहरू प्रयास गरेका छौं,""मेरो बाबुले भन्नुभयो । त्यसैले हामीले हाम्रो बारी नभएसम्म लाइनको अन्त्यमा बस्यौं, र हामीले भने त्यो अन्तिम यात्रा थियो, चाँडै हामी पछिका मानिसहरूले गुनासो गरिरहेका थिए, तिनीहरूका साना छोरा-छोरीहरू पागल भएका थिए, र अभिभावकहरू चिच्याइरहेका थिए। हामी त्यहाँ उभिएका थियौं र धैर्य राख्यौं । यसले हामीलाई हतोत्साहित गरेन । हामी धैर्यवान बन्नका निम्ति सृष्टि भएका थियौं। अनि हामी हरेक कुराको निम्ति पर्खिरहेका थियौं। मेरो विचारमा धैर्य धेरै महत्वपूर्ण छ, किनभने यदि तपाईँले लाइनमा कार्य गर्नुभयो भने, तपाईँले मानिसहरूलाई तिनीहरूले तपाईँलाई समातिरहेका छन् भन्ने सोच्न सक्ने बनाउन सक्नुहुन्छ, तर यो लाइन धीमे गतिमा चलिरहेको छ । अनुशरण: जब तपाईँ लाइनको अन्त्यमा पर्खिरहनु भएको छ, कसैलाई चिच्याउनुहोस्, चिच्याउनुहोस्, चिच्याउनुहोस्, वा चिच्याउनुहोस्, यसले मात्र समस्या उत्पन्न गर्दछ। तपाईँको अगाडिका सबै मानिसहरूको बारेमा नसोच्नुहोस्, कसैसँग कुरा गर्नुहोस्, केही समयका लागि यसमा तपाईँको मन हटाउनुहोस्, त्यसपछि तपाईँले देख्नुहुनेछ, रेखा तपाईँले अपेक्षा गर्नुभन्दा छिटो चालिरहेको छ । P.S. हामीले ride मन पर्यौ ।"
17839,7,"It can be very hard for somebody to be patient. If you are patient, then you are understanding and tolerant. You have to be patient sometimes. When you go to the dentist or doctor’s office, you need to be very patient. There was a girl who had to go to the dentist. She hated the dentist. It was always so boring. First, you‘d sit there while your parents did a whole bunch of paperwork. You have to just sit there for like @NUM1 minutes before you even go in. Then, when you finally go in, they start working on your teeth for like ten minutes, then you’d sit there for another fifteen minutes. Finally, When you are done getting your teeth cleaned you’d sit there for another ten minutes while your parents talk to the dentist. So, you need to be patient sometimes, even when you are just dying of boredome.",13,"कसैको लागि धैर्य धेरै कठिन हुन सक्छ । यदि तिमी धैर्यवान छौ भने तिमी समझदार र सहनशील छौ। तपाईँले कहिलेकाहीं धैर्य राख्नु पर्दछ । जब तपाईँ दाँतविज्ञानी वा चिकित्सकको कार्यालय जानुहुन्छ, तपाईँले धेरै धैर्य राख्नुपर्दछ । त्यहाँ एउटी केटी थिई जसलाई दाँतविज्ञानीकहाँ जानु पर्थ्यो । उनले दाँतविज्ञानीलाई घृणा गर्थे । यो सधैँ यति नीरस थियो । पहिले, तिमी त्यहाँ बस्छौ जब तिम्रा आमा-बाबुले धेरै कागजात काम गर्छन्। तपाईँ भित्र जानुभन्दा पहिले त्यहाँ @NUM1 मिनेटसम्म बस्नु पर्दछ । त्यसपछि, जब तपाईँ अन्त्यमा भित्र जानुहुन्छ, तिनीहरूले तपाईँको दाँतमा दश मिनेटसम्म काम गर्न सुरु गर्छन्, त्यसपछि तपाईँ त्यहाँ पन्ध्र मिनेटसम्म बस्नु हुन्छ । अन्त्यमा, जब तपाईँको दाँतहरू सफा गरिसकेपछि तपाईँले अर्को दश मिनेट त्यहाँ बस्नु हुन्छ जब तपाईँका माता-पिता दाँतविज्ञानीसँग कुरा गर्छन् । त्यसैले, तपाईँले कहिलेकाहीं धैर्य राख्नुपर्दछ, यहाँसम्म कि तपाईँ केही समयको लागि मर्नुभएको छ।"
17840,7,"There was a girl name @PERSON1. She loved spending time with her mom. Every weekend they would either @CAPS3 the movies, amusement or water park, or just stay home. This time was different though. @PERSON1 was even a little scared about @CAPS1 was about @CAPS3 happen. Today was a @DATE1 and @PERSON1 and her mom was watching videos of her mom when she was young. After the video, @PERSON1 and her mom looked at each other and laughed. Once they settled down, @PERSON1’s mom looked sad. “@CAPS1’s wrong mom?” @PERSON1 asked. “I have @CAPS3 go. I have @CAPS3 go somewhere for work and can’t take you with me,” mom replied. “@CAPS2 not?” asked @PERSON1. “I don’t know, but I need you @CAPS3 wait here with your father. I’ll be back soon,” the mom said calmly. With that @PERSON1’s mom left and drove away. @PERSON1 stood there confused and wishing her mom didn’t have @CAPS3 go. Then she went @CAPS3 the phone and called her dad. An hour later, @PERSON1’s dad came @CAPS3 her house. He calmed @PERSON1 down, who had been crying because she missed her mom. @PERSON1 went @CAPS3 her room and began  @CAPS3 wait patiently for her mom. Weeks past and @PERSON1’s mom still hasn’t returned. Every night now @PERSON1 cried hoping her mom would come. During the day she would wait watching for her mom. @PERSON1 wanted her mom more than ever now. Though see never complained @CAPS3 her father and understands that her mom left for an important reason, but still she missed her mom. Two years have passed since @PERSON1’s mom had left. @PERSON1 didn’t cry as much but still waited. Waited for her mother @CAPS3 come back. One day @PERSON1 heard a knock on the door, she answered it and there stood her mother. They stood on the porch for a moment, then hugged each other. They both cried and her mom whispered “I’m sorry.” @CAPS3 @PERSON1. Now @PERSON1 and her were unseperatable. They never left each other’s side again.",23,"त्यहाँ @PERSON1 नामकी एक बालिका थियो। उनी आफ्नो आमासँग समय बिताउन मन पर्थ्यो । हरेक सप्ताहन्तमा या त @CAPS3 चलचित्र, मनोरञ्जन वा वाटर पार्क, वा घर बस्नु पर्थ्यो । तर यो पटक फरक थियो । @PERSON1 @CAPS1 @CAPS3 घटनाको बारेमा अझ केही डराएको थियो । आज @DATE1 र @PERSON1 थियो र उहाँकी आमा सानो हुँदा उहाँकी आमाको भिडियो हेर्न थिइन् । भिडियो पछि @PERSON1 र उनको आमाले एक अर्कालाई हेर्न र हाँस्न थाले। एकपटक तिनीहरू शान्त भएपछि @PERSON1की आमा उदास देखिन्थे । @CAPS1 को गलत आमा?” @PERSON1ले सोध्यो । ""मसँग @CAPS3 जाँदैछ । @CAPS3 ले मलाई काम गर्न केही ठाउँमा जान दिएको छ र मसँग तिमीलाई लिन सक्तैनौ,” आमाले जवाफ दिए। @CAPS2 होइन?” @PERSON1 ले सोध्यो । ""मलाई थाहा छैन, तर मलाई तपाईंको बाबुसँग यहाँ @CAPS3 प्रतिक्षा गर्न आवश्यक छ। म चाँडै फर्किनेछु,""मामा शान्तसित भनिन्। त्यस @PERSON1 को आमाले छोडेर भाग्यो। @PERSON1 त्यहाँ भ्रमित उभिरहेको थियो र आफ्नो आमालाई @CAPS3 जानु भएको छैन भन्ने इच्छा गरिरहेको थियो । त्यसपछि उनले @CAPS3 फोनमा गएर आफ्नो बाबुलाई बोलाइन्। एक घण्टापछि @PERSON1का बाबु @CAPS3 उनको घरमा आए। उहाँले @PERSON1लाई शान्त पार्नु भयो, जसले आफ्नो आमालाई बिर्सेर रोइरहेका थिए । @PERSON1 आफ्नो @CAPS3 कोठामा गए र @CAPS3की आमाको लागि धैर्यपूर्वक प्रतिक्षा गर्न थाले। हप्ता बितिसकेको छ र @PERSON1की आमा अझै फर्केर आएको छैन । अहिले हरेक रात @PERSON1 आफ्नो आमा आउने आशामा रोइरहेकी थिई। दिनभरि उनी आफ्नो आमालाई हेर्न पर्खिरहेकी थिई। @PERSON1 आफ्नो आमालाई अहिलेभन्दा बढी चाहन्थे । यद्यपि उनले कहिल्यै पनि आफ्नो बाबु @CAPS3 मा गुनासो गरेनन् र उनको आमाले एउटा महत्वपूर्ण कारणबाट विदा लिएकी बुझिन्, तर उनी आफ्नो आमालाई बिर्सिन्। @PERSON1की आमाको बिदाइबाट दुई वर्ष बितिसकेको छ। @PERSON1की आमाको बिदाइबाट दुई वर्ष बितिसकेको छ। @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON @PERSON1 त्यति रोएन तर अझै पर्खिरहन्थ्यो । @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PERSON1 @PER उहाँकी आमा @CAPS3 फर्कने प्रतिक्षा गरिरहेकी थिई। एक दिन @PERSON1ले ढोकामा चिच्याएको सुने, उनले जवाफ दिई र त्यहाँ आफ्नो आमा उभिए। तिनीहरू केही क्षणको लागि दलानमा उभिए र एक-अर्कालाई अँगाले। तिनीहरू दुवै चिच्याए र उनको आमाले हिस्के “म धिक्कार गर्दछु।” @CAPS3 @PERSON1. अहिले @PERSON1 र तिनी अलग हुन सकेनन्। तिनीहरूले फेरि एक-अर्कालाई छाडेनन्।"
17841,7,Un Patience @CAPS1.   My name is @CAPS2 and I have a very hipper non patience horse named @CAPS1. @CAPS1 is a chestnut quarter horse with a white star on his forehead who is very un patient. He is always hipper and ready to go. For example when we are getting ready to go on a horse ride in our back trains he dose not stand still when I am tacking him up at the post. And when we are on the ride he always is so far up ahead that I have to stop him to wait for the group. And that’s when he gets unpatient. No matter what he will not stand still and wait for the group so I have to spin him around and walk back to the group. Meany times I have tried training him to be patient but I have always failed. I guess he just always has to be doing something. But I will always love him no matter how un patience he is.,16,"अन धैर्य @CAPS1.   मेरो नाम @CAPS2 हो र मसँग @CAPS1 नाम भएको एउटा अति हिप्पर गैर धैर्य घोडा छ । @CAPS1 चेस्टनट क्वार्टर घोडा हो जसको टाउकोमा सेतो तारा छ। यो एकदमै असहिष्णु छ। उनी सधै हिप्पर हुन् र जान तयार छन् । उदाहरणका लागि जब हामी हाम्रो पछाडिको रेलमा घोडसवारमा चढ्न तयार हुन्छौं, जब म उहाँलाई डाकको छेउमा समात्छु, उहाँले चुपचाप उभिन सक्नुहुन्न। जब हामी गइरहेछौं, उनी सधैँ यति टाढा अगाडि छन् कि मैले उहाँलाई समूहका लागि प्रतिक्षा गर्न रोक्नु पर्दछ। र त्यसबेला उनी धैर्यहीन हुन्छन् । जे भए पनि उनी उस्तै उभिने छैनन् र समूहका लागि प्रतिक्षा गर्ने छैनन् त्यसैले मलाई उहाँलाई वरिपरि घुमाउनु पर्छ र समूहमा फर्केर जानुपर्छ । मैले सधैं उहाँलाई धैर्यवान बन्न प्रशिक्षण दिएको छु, तर मैले सधैं असफल भएको छु। मलाई लाग्छ उहाँ सधैँ केही गर्नुपर्दछ । तर म उहाँलाई प्रेम गर्नेछु। उहाँ कति असहिष्णु हुनुहुन्न। तर म उहाँलाई प्रेम गर्नेछु।"
17842,7,"A time when I was patient was when I preordered a videogame called @CAPS1 @CAPS2 I preordered it a month before it came out and I couldn’t wait for it to come out. I mostly wanted it because @ORGANIZATION1 is the company that makes it and this is the last game @ORGANIZATION1 was making because some other company bought the @CAPS1 series from @ORGANIZATION1. When the game finally came out on @DATE1 fourteenth two thousand ten, I bought with my friends and the game is amazing. I would give it four of five stars. I’m not absessed with it through. I play it only about two hours a day which is all my parensts let me play any way. Hala @CAPS2 is my very favorite game.",18,"एक समय जब म धैर्यवान थिएँ जब मैले @CAPS1 @CAPS2 भनिने एउटा भिडियो खेलको पूर्वरोड गरें। मैले यो निस्कनुभन्दा एक महिना पहिले यसलाई पूर्वरोड गरें र मैले यो निस्कने प्रतिक्षा गर्न सकेनँ। मैले यसलाई धेरैजसो चाहन्थे किनभने @ORGANIZATION1 ले यसलाई निर्माण गरेको कम्पनी हो र यो @ORGANIZATION1 ले निर्माण गरेको अन्तिम खेल हो किनभने केही अन्य कम्पनीले @ORGANIZATION1 बाट @CAPS1 श्रृङ्खला किनेका छन् । जब खेल अन्त्यमा @DATE1 चौधौं दुई हजार दशमा प्रकाशित भयो, मैले मेरा साथीहरूसँग किनें र खेल आश्चर्यजनक छ। म यसलाई पाँच मध्ये चारवटा तारा दिन्छु । म यसबाट रोक्ने छैन । म यसलाई दिनमा प्रायः दुई घण्टा मात्र बजाउँछु जुन मेरो सबै साथीहरूले मलाई कुनै पनि तरिकाले बजाउन दिन्छन्। हाला @CAPS2 मेरो मनपर्ने खेल हो।"
17843,7,"One time I was patience it was when I wanted a phone I didn’t get a phone I knew I was gonna get one someday .The day finally came to get my phone @DATE1 it was my @NUM1 birthday .I was opening presents and I didn’t know what I was getting but the last and find big present was a cell phone .So I called my friend on it and  she said whose phone are you calling from I said my .I couldn’t believe I could be so patience for such a long time .I was so happy that I could be so patience for  so long. I did not know someone could  be so patience for so long .Once I got my phone I wasn’t patience for waiting for a texted message to come back to me .After all I got patience and just waited until I got the text message back . I wish I could be patience everyday but can’t do that .I’m happy that I have a phone so I can call my mom after all my activitys and  then I know she is on her way and I will be patience with her: could I ever be more  patience . Some days I never patience with anything .one day I will teach someone to be patience to me and I will be happy to do that .But some day and every day after that I will be to patience for everybody .I wish everybody will be patience some day, Patience means you will just wait for that day or moment of live .This a time when I was patience and when I want other people to be patience .I hope someday everybody in the world will be patience with everybody. Will you please help other people to be patient and then they could teach someone new every day .I will be patience or trie to be patience and wait for another thing to happen in life .I hope you are patience at times too. Thanks for reading the time I was patience and times when I want to be patience .Hope you enjoyed his story.",12,"एक पटक म धैर्यवान थिएँ जब मैले एउटा फोन चाहन्थें मैले एउटा फोन प्राप्त गरेन मैले थाह पाएँ कि म एक दिन एउटा पाउनेछु। अन्त्यमा मेरो फोन प्राप्त गर्न आएको दिन थियो @DATE1 यो मेरो @NUM1 जन्मदिन थियो। म उपहारहरू खोल्दै थिएँ र मैले प्राप्त गरेको केही पनि जान्दैन थिए तर अन्तिम र ठूलो उपहार फेला पार्न एउटा सेल फोन थियो। त्यसैले मैले मेरो साथीलाई यसमा बोलाएँ र तिनले भनिन् तपाईँ को फोन हुनुहुन्छ तपाईंले यसबाट बोलाउँनुभएको मैले मेरो.मैले यति लामो समयसम्म म यति धैर्यवान हुन सक्ने विश्वास गर्न सकेनँ। म यति खुशी थिएँ कि म यति लामो समयसम्म यति धैर्यवान हुन सक्ने थिएँ। मलाई थाहा थिएन कसैले यति लामो समयसम्म यति धैर्यवान हुन सक्छ। जब मैले मेरो फोन प्राप्त गरें मैले मलाई एक सन्देश पठाउने प्रतिक्षा गर्दा धैर्य थिएन। आखिरमा मैले धैर्य प्राप्त गरें र मैले पाठ सन्देश प्राप्त नगरेसम्म प्रतिक्षा गरें। म प्रतिदिन धैर्य रहन चाहन्छु तर त्यो गर्न सक्तिन। म खुशी छु मसँग एउटा फोन छ जसले गर्दा म मेरो आमालाई सबै कार्यहरू पछि बोल्न सक्छु र त्यसपछि म जान्दछु उनी आफ्नो बाटोमा छन् र म उनीसँग धैर्य रहन सक्छु: म कहिले पनि अझ धैर्य रहन सक्छु। केही दिन म केहीसँग कहिल्यै धैर्य गर्दैन.एक दिन म कसैलाई मलाई धैर्य सिकाउनेछु र म त्यो गर्न खुशी हुनेछु.तर केही दिन र त्यस पछि प्रत्येक दिन म सबैका लागि धैर्य रहनेछु.म चाहन्छु कि सबैले एक दिन धैर्य रहन्छन्, धैर्यको अर्थ तपाईँले त्यो दिन वा जीवनको क्षणलाई मात्र पर्ख्नु हुनेछ.यो एक समय जब म धैर्य थिएँ र जब म अन्य मानिसहरूलाई धैर्य गर्न चाहन्छु.म आशा गर्छु कि एकदिन संसारका सबैले सबैसँग धैर्य रहन्छन् । के तपाईँले अन्य मानिसहरूलाई धैर्य राख्न मद्दत गर्नुहुन्छ र त्यसपछि तिनीहरूले प्रत्येक दिन कसैलाई नयाँ सिकाउन सक्छन्। म धैर्य रहनेछु वा धैर्य हुन प्रयास गर्नेछु र जीवनमा अर्को कुरा घट्ने प्रतिक्षा गर्नेछु। म आशा गर्छु कि तपाईँले कहिले पनि धैर्य राख्नुहुन्छ। मैले धैर्य र धैर्य भएको समयमा पढ्नका लागि धन्यवाद । आशा गर्नुहोस् तपाईँले उहाँको कथाको आनन्द लिनुभयो ।"
17844,7,"I think patience is a time when you have to be calm. It is also a time of wateing. For some people being patient is extremely hard. But for me it’s easy. At times I can be inpatient, but everyone can be. Being patient is kinda new racking, but I manage. A lot of times I get mad if I have to be too patient. I think @PERCENT1 of people in the world don’t like to be patient. with patience comes a reward is you are really patient!",10,"म सोच्दछु धैर्य एक समय हो जब तपाईँ शान्त हुनुपर्दछ । यो भीटिङको समय पनि हो। केही मानिसहरूका लागि धैर्य धेरै कठिन हुन्छ । तर मलाई यो सजिलो छ । कहिलेकाहीं म धैर्यहीन हुन सक्छु, तर सबैले हुन सक्छन् । रोगी हुनु केही नयाँ र्याकिङ हो, तर म सफल छु । यदि मैले धेरै धैर्य राख्नु पर्छ भने धेरै पटक म क्रोधित हुन्छु । मलाई लाग्छ संसारका @PERCENT1 मानिसहरूलाई धैर्य हुनु मन पर्दैन। धैर्यले तिमीलाई सहि धैर्य प्रदान गर्दछ।"
