essay_id,essay_set,essay,score,p3_mbart50_m2m
5978,3,The features of the setting affect the cyclist in many ways. The features of the setting that affect the cyclist is the lact of information on were to go and the lack of water. This was a problem because he needed water for his trip and directions on were to go.  ,1,सेटिङको विशेषताहरू धेरै तरिकाले चक्रवातलाई प्रभाव पार्दछ । साइकलिस्टलाई प्रभाव पार्ने परिवेशको विशेषताहरू जानका लागि सूचनाको अभाव र पानीको अभाव हुन्। यो समस्या थियो किनभने उनी आफ्नो यात्राका लागि पानीको आवश्यक थियो र जानका लागि दिशानिर्देशहरू थिए ।  
5979,3,"The features of the setting affected the cyclist in a negative way. He was in the desert, which is dry and hot. “I was traveling through the high deserts of California in June.""(Kurmaskie @NUM1). Also, the  temperature was hot and made every thing around him hot, “brackish water faling somewhere in the neighborhood of two hundred degrees"" (Kurmaskie @NUM1). Since he was in the desert, there was no escape from the sun. The text  states, “The sun was beginning to beat down”(Kurmaskie @NUM3). The cyclist was all alone in the road with none around him either so into he passed out, no one could help him. “ and the growing realization that I could drop from heatstroke on a gorgous day in June”(Kurmaskie @NUM1). ""About forty miles into the pedal, I arrived at the first ‘town’ but on that morning it fit the traditional definition of a ghost town."" (Kurmaskie @NUM3). Thesettings that the cyclist was riding in wasn't good ones and so they negativly affected him; causing him to be dehydrated and tiredin the end.",2,"सेटिङको विशेषताहरूले चक्रवातलाई नकारात्मक तरिकाले प्रभावित गर्यो । उहाँ मरूभूमिमा हुनुहुन्थ्यो, जुन सुक्खा र गरम छ। “म जुनमा क्यालिफोर्नियाको उच्च मरूभूमिमा यात्रा गरिरहेको थिएँ।""(Kurmaskie @NUM1). साथसाथै, तापक्रम गरम थियो र उहाँको वरिपरिको प्रत्येक वस्तुलाई गरम बनायो,""एक सय डिग्रीको छिमेकमा केही ठाउँमा झरिरहेको पिठो पानी""(Kurmaskie @NUM1)। जब येशू मरूभूमिमा हुनुहुन्थ्यो, त्यहाँ सूर्यबाट भाग्ने कोही थिएन। पाठले भन्छ, “सूर्य बिट्न थाल्यो” (Kurmaskie @NUM3)। सायकल चालक बाटोमा एक्लै थियो। उसको वरिपरि कोही पनि थिएन। यसकारण उनी भागे र कसैले पनि उनलाई मद्दत गर्न सकेनन्। “ र जूनको एक घृणित दिनमा गर्मीबाट म पतन गर्न सक्छु भन्ने बढ्दो बोध (Kurmaskie @NUM1)। ""पाडलमा चालीस माइलसम्म पुग्दा मैले पहिलो 'शहर'मा पुगें तर त्यस बिहान त्यो भूत-शहरको परम्परागत परिभाषासँग मिल्यो ।"" (Kurmaskie @NUM3). सायकलमा चढ्दै गरेको सेटिङ राम्रो थिएन र त्यसैले तिनीहरूले उसलाई नकारात्मक प्रभाव पारे; अन्त्यमा उसलाई पानीबाट हटाएर थकित बनाउँदछ ।"
5980,3,"Everyone travels to unfamiliar places. Sometimes we get lost and ask locals for directions which @MONTH1 not be a good idea. The setting affected the cyclist. He had a perfectly good map but asked older men who look like they haven’t been out in ages. The old men apparently haven’t been out because they gave the cyclist the wrong directions.  My advice would be to not listen to anyone no matter their age if you have a perfectly good map with you. Also try to know where you are going at all times. “Yes, sir!",1,"सबैले अपरिचित स्थानहरूमा यात्रा गर्दछन् । कहिलेकाहीं हामी भ्रमित हुन्छौं र स्थानीयहरूलाई निर्देशनका लागि सोध्छौं जुन @MONTH1 राम्रो विचार होइन । सेटिङले चक्रवातलाई प्रभावित गर्यो । उनीसँग एकदम राम्रो नक्सा थियो तर उनले ठूला-ठूला मानिसहरूलाई सोधे जसलाई तिनीहरू लामो समयदेखि बाहिर नभएको जस्तो देखिन्छन् । बूढा-प्रधानहरूले सायकल चालकलाई गलत दिशा दिइरहेका हुनाले बाहिर निस्केका छैनन् भन्ने देखिन्छ ।  यदि तपाईँसँग राम्रो मानचित्र छ भने मेरो सल्लाह कुनै पनि व्यक्तिको उमेरमा ध्यान नदिनु हो। तपाईँ सधैँ कहाँ जाँदै हुनुहुन्छ जान प्रयास गर्नुहोस् । “हो, सर!"
5981,3,"I believe the features of the cyclist affected him because he was impatient and trustworthy he tock the old mens advice to take an hr of his time bay taking a short cat, if he would of stayed true to the mep he wouldn’t of almost ared of heat but his impatientress got the best of him so he took the shortcut. After his experence he new haes to stat ?? to the mep and not trust people who havent seen changes in the last few years.  ",1,म सायकल चालकको विशेषताहरूले उनलाई प्रभावित गरेकोमा विश्वास गर्छु किनभने उनी धैर्यहीन र विश्वसनीय थिए। उनी आफ्नो समयको एक घण्टा भाग लिनका लागि पुरानो पुरूषहरूको सल्लाह उपेक्षा गरे। यदि उनी साँच्चै साँचो रहन चाहन्थे भने उनी तातोको आगोको ज्वाला जस्तै हुने थिएनन्। तर उनको धैर्यहीनताले उनीबाट सबभन्दा उत्तम प्राप्त गर्यो त्यसैले उनले छोटो बाटो लिए। आफ्नो अनुभव पछि उनले नयाँ घोषणा गर्न चाहन्छन्?? मेप र मानिसहरूलाई विश्वास नगर्नुहोस् जसले विगत केही वर्षहरूमा परिवर्तन देखेका छैनन् ।  
5982,3,"The setting effects the cyclist because of the setting were diffrent the story would not of made sense. The setting of the story is not and dry with scaterd ghost towns. When he reaches the first “town” he sees “One ramshackle sheds several rusty pumps and a coral that couldnt hold the lamesh mule.” If the setting had the problem of no water so there would be no conflict in the story, “In the story the speeker says “I was travling through the high deserts of California” that are very hot and dry, and he says “This causes the problem of it being hot and dry if the seting was a forest in @DATE1 he wouldn’t have as much of a problem needing water which would of made the story much less exciting.",2,"सेटिङको कारणले साइकिल चालकको सेटिङ प्रभाव फरक थियो कथा अर्थहीन हुने थियो । कथाको पृष्ठभूमि ध्वंशित भूतका शहरहरूसँग सुक्खा छैन। जब उनी पहिलो ""शहर""मा पुग्छन् उनले देख्छन् ""एक थुप्रोले धेरै सिंगारे पंपहरू र लामेश मुलेलाई समात्न नसकिने कोललाई राख्छ ।"" यदि सेटिङमा पानीको समस्या भएमा कथामा कुनै द्वन्द्व हुने थिएन,"" कथामा स्पेकरले भन्छ ""म क्यालिफोर्नियाको उच्च मरूभूमि हुँदै घुमिरहेको थिएँ"" जुन धेरै गर्मी र सुख्खा छन्, र उनले भन्छ ""यो समस्या यसलाई गर्मी र सुख्खा भएको कारणले गर्दा हुन्छ यदि सेटिङ @DATE1 मा वन थियो भने उसले पानीको आवश्यकता गर्ने समस्याको त्यति धेरै हुने थिएन जुन कथालाई अझ कम मनोरंजक बनाउने थियो ।"""
5983,3,"There were many features of the setting that affected the cyclist. For instance, it was extremely hot and dry. Also it  was nearly deserted, almost all of the places he crossed were deserted .A  lost her features of the setting were a ram shackle shed, several rusty pumps, and a corral that caldnt hald in the lamest move.an is the feature give you an idea if haw the cyclist feels.  ",1,"त्यहाँ सेटिङको धेरै विशेषताहरू थिए जसले चक्रवातलाई प्रभावित पार्यो । उदाहरणका लागि, यो एकदमै गर्मी र सुख्खा थियो। यो पनि लगभग रित्तो भएको थियो, प्रायः सबै ठाउँहरू जुन उनले पारेका थिए रित्तो भएको थिए। त्यसको परिवेशको हराएको विशेषताहरू एउटा भेडाको कुट्ने शेड, धेरै सिंगारे पंपहरू, र एउटा कोर्राल थियो जुन कम्तिमा चालमा कलन्ट हाल्ड थियो। एउटा विशेषताले तपाईँलाई एउटा विचार दिन्छ यदि चक्रवातले अनुभव गर्छ भने।  "
5984,3,The cyclist was riding through a tower when he stopped for directions. These old men told him to take a short cut and he did and got lost. He was in a ghost town in the desert. In conclusion the desert is hot.,1,"सायकल चालक एउटा टावर हुँदै हिडिरहेको थियो जब उसले दिशा खोज्न रोकियो । यी बूढा-प्रधानहरूले उसलाई छोटो बाटो खोज्न भने, तर उनले गरे र हराए। उनी मरूभूमिमा एउटा भूतको शहरमा थिए। अन्त्यमा मरूभूमि गरम छ।"
5985,3,"The affects of the cyclist is if it does not change. it cut hurt a lot of people feeling because they @CAPS1 don’t care about the cyclist. I’m one of them people who does not care about it cause it does not affect me or anyone I know. It is a big deal to write people, some of them @CAPS1 blow stuff up. They talking on tiv and on the radio making all this stuff they say is made up. I don’t believe to I see it. That @CAPS1 not for black people because it has not did anything to us. We really don’t care about the affects of the cyclist.",0,चक्रवातको प्रभाव यदि परिवर्तन हुँदैन भने हुन्छ । यसले धेरै मानिसहरूलाई चोट पुर्यायो किनभने तिनीहरू @CAPS1 सायकलवादकको बारेमा चिन्ता गर्दैनन्। म तिनीहरू मध्ये एक हुँ जसले यसको बारेमा चिन्ता गर्दैन किनभने यसले मलाई वा मलाई थाहा भएका कुनै पनि व्यक्तिलाई असर गर्दैन। @CAPS1 stuff up मा केही मानिसहरूले @CAPS1 stuff up मा लेख्नु एउटा ठूलो कुरा हो। तिनीहरूले tiv र रेडियोमा कुरा गर्दै तिनीहरूले भनेका सबै कुराहरू बनावट भएका छन् । म यसलाई देख्न विश्वास गर्दैन। त्यो @CAPS1 कालो मानिसहरूका लागि होइन किनभने यसले हामीलाई केही पनि गरेको छैन। हामी सायकल चालकको प्रभावको बारेमा वास्तवमै चिन्तित छैनौं ।
5986,3,"The essay “Rough Road Ahead: Do Not Exceed Posted Speed Limit” describes a man’s bicycle ride through California. Now, California is very hot during the summer, which is when the cyclist is riding. This setting greatly affects the man’s journey. It made it very difficult for him to finish his ride. He drank most of his water in the beginning of his ride so he gets very dehydrated. The text states, “The water bottles contained only a few tantalizing sips.” As you can see the setting makes this man’s bikeride very hard.",2,"""अगाडिको कठिन सडक: पोस्ट गरिएको गति सीमाभन्दा बढी नगर्नुहोस्""यस निबन्धले क्यालिफोर्निया हुँदै एउटा मानिसको साइकिल चाल वर्णन गर्दछ । अहिले, क्यालिफोर्निया ग्रीष्म ऋतुमा एकदमै गर्मी छ, यो सायकलमा चढ्ने बेला हो । यस अवस्थाले मानिसको यात्रामा ठूलो असर पुर्याउँछ। त्यसले उहाँको यात्रा पूरा गर्न धेरै कठिन बनायो। उनी आफ्नो रथको सुरुमा धेरै पानी पिए त्यसैले उनी धेरै पानीबाट हट्छन् । यस पाठमा लेखिएको छ, “पानी बोतलहरूमा केवल केही उत्तेजित सिपहरू मात्र थिए।” तपाईँले देख्न सक्नुहुन्छ कि परिस्थितिले यस मानिसको साइकिलစီးलाई धेरै कठिन बनाउँदछ।"
5987,3,"In the story, “Rough Road Ahead: Do Not Exceed Posted Speed Limit” written by Joe Kurmaskie, represents how certain conditions can affect a cyclist. The cyclist was biking through the desert to reach Yosemite National Park, but on his journey he accoutered many tough conditions to make it difficult to get there. First of all, the desert was very hot which makes travel very difficult. For example the text states, “the sun was beginning to beat down.” @CAPS1 makes any task difficult because the sun drain’s a person’s energy. Secondly, the trip was very long so the cyclist had a hard time conserving water. For instance, the man drank so much water, he almost ran out; “The water bottle contained only dehydration which can cause death. Joe Kurmaskie’s story, “Rough Road Ahead. Do Not Exceed Posted Speed Limit,” represents how certain conditions of an environment can affect a cyclist.  ",3,"जो कुर्मास्कीद्वारा लेखिएको कथा ""अगाडिको कठिन सडक: प्रकाशित गति सीमाभन्दा बढी नगर्नुहोस्""मा, निश्चित परिस्थितिहरूले कसरी एक साइकलिस्टलाई प्रभाव पार्न सक्छ भन्ने प्रतिनिधित्व गर्दछ । योसेमीट राष्ट्रिय निकुञ्ज पुग्न साइकिलले मरूभूमिमा घुमिरहेको थियो, तर आफ्नो यात्रामा उनी त्यहाँ पुग्न कठिन बनाउन धेरै कठिन परिस्थितिहरू सामना गरे। सर्वप्रथम मरूभूमि अति गरम थियो जसले यात्रालाई धेरै कठिन बनाउँदछ। उदाहरणका लागि, पाठले भन्छ, “सूर्य तल झर्न थाल्यो।” @CAPS1 कुनै कार्यलाई कठिन बनाउँदछ किनभने सूर्यबाट हटाइ व्यक्तिको ऊर्जा हो। दोस्रो, यात्रा धेरै लामो थियो त्यसैले सायकलकारले पानी संरक्षण गर्न कठिन समय बितायो। उदाहरणका लागि, त्यस मानिसले यति धेरै पानी पियो कि तिनी प्राय: हराइरहेका थिए। “पानी बोतलमा केवल पानी हटाइएको थियो जुन मृत्युको कारण हुन सक्छ। जो कुर्मासकीको कथा, ""अगाडिको कठिन बाटो । पोस्ट गरिएको गति सीमाभन्दा बढी नगर्नुहोस्,""कुनै परिवेशको निश्चित अवस्थाले साइकलिस्टलाई कसरी प्रभाव पार्न सक्छ भन्ने प्रतिनिधित्व गर्दछ ।  "
